time,close,signal,position,strategy_returns,osc,heat_zone,wma,cumulative
2025-10-27 01:45:00,4064.43,sell,0.0,0.0007867162953529204,-179.86647615137048,-2.0,4104.43626135854,7.399796306415214
2025-10-27 02:00:00,4069.47,sell,0.0,0.0007873182709506175,-154.79858817259193,-2.0,4103.93141649757,7.405622301248568
2025-10-27 02:15:00,4067.61,sell,0.0,0.000786343184739,-165.78606504230504,-2.0,4104.412185434481,7.4114456618739055
2025-10-27 02:30:00,4074.94,sell,0.0,-0.0004916892229097676,-133.02242820745997,-2.0,4104.38384937158,7.407801533915781
2025-10-27 02:45:00,4081.27,sell,0.0,-0.0004908047725856086,-103.70249675214447,-2.0,4104.228799458454,7.404165749568569
2025-10-27 03:00:00,4090.3,sell,0.0,0.0007840696645896542,-61.865912412321876,-2.0,4104.067145220939,7.409971131324398
2025-10-27 03:15:00,4093.43,sell,0.0,-0.0004889616898516001,-49.216212779537194,-2.0,4104.387842126725,7.406347939318274
2025-10-27 03:30:00,4088.05,sell,0.0,0.000781740496356312,-72.26647586241961,-2.0,4104.19599283661,7.412137781432545
2025-10-27 03:45:00,4081.8,sell,0.0,0.0007827692909822086,-98.92768062173612,-2.0,4103.822884549289,7.41793977526838
2025-10-27 04:00:00,4078.68,sell,0.0,0.0007839678573178054,-119.21908943102429,-2.0,4105.150691302728,7.423755201619709
2025-10-27 04:15:00,4072.98,sell,0.0,0.0007845675561700889,-142.47214394412572,-2.0,4104.599127849808,7.4295796390958495
2025-10-27 04:30:00,4078.01,sell,0.0,-0.0004910409577262839,-114.06971869413518,-2.0,4103.313515349327,7.425931411194364
2025-10-27 04:45:00,4071.55,sell,0.0,0.0007846964573406681,-139.113264475446,-2.0,4102.427858409499,7.431758513265183
2025-10-27 05:00:00,4075.58,sell,0.0,0.0007859414719209682,-118.97822908930303,-2.0,4101.906193772361,7.437599440490059
2025-10-27 05:15:00,4077.1,sell,0.0,0.0007851643201703361,-111.46668836263053,-2.0,4101.737259195415,7.443439178198451
2025-10-27 05:30:00,4080.23,sell,-0.6666666666666667,-0.0003809897557904905,-81.69234836079384,-2.0,4098.289318990379,7.440603304123708
2025-10-27 05:45:00,4069.47,hold,0.0,0.0005232477332744384,-121.23467569273319,-2.0,4096.134475806535,7.444496582936784
2025-10-27 06:00:00,4057.43,sell,0.0,0.000786343184739,-163.49342796475352,-2.0,4093.4547958914654,7.45035051208859
2025-10-27 06:15:00,4062.64,sell,-0.33333333333333337,-9.940611010744873e-05,-131.36159951394748,-2.0,4091.585265729699,7.449609901725245
2025-10-27 06:30:00,4060.5,hold,0.0,0.00015773531521185192,-139.3207159717854,-2.0,4091.1667187168455,7.450784968291299
2025-10-27 06:45:00,4068.81,sell,0.0,-0.0004925501785494397,-94.01507238210321,-2.0,4089.424308860934,7.447115082824834
2025-10-27 07:00:00,4073.61,sell,0.0,-0.0004915442107151722,-69.86988137768124,-2.0,4088.897040956267,7.443454496519342
2025-10-27 07:15:00,4081.95,sell,0.0,-0.0004909650162877644,-28.21396746738838,-2.0,4088.1238932170836,7.439800020761221
