time,open,high,low,close,tick_volume,spread,real_volume,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,returns,position,strategy_returns,cumulative
2025-08-07 05:15:00,3381.85,3382.01,3378.61,3378.96,968,5,0,65.34167038856586,3.310499999999979,0.9997885962792913,buy,BULLISH,1.0,3373.99425,3388.8915,-0.0008575162780245504,1,-0.0008575162780245504,1.6011141654520034
2025-08-07 05:30:00,3379.01,3381.45,3378.08,3380.84,876,5,0,73.24755989352224,3.3899999999999864,1.0295189504373172,buy,STRONG_BULLISH,1.0,3375.755,3391.01,0.0005563842128939456,1,0.0005563842128939456,1.6020050000967017
2025-08-07 05:45:00,3380.85,3381.64,3379.56,3379.56,740,6,0,73.60677663843069,3.408499999999981,1.0371531158714693,hold,NEUTRAL,1.0,,,-0.00037860413388390857,1,-0.00037860413388390857,1.6013984743811625
2025-08-07 06:00:00,3379.58,3379.97,3377.14,3377.88,857,5,0,69.25335570469848,3.229999999999973,0.9991338777530294,hold,NEUTRAL,1.0,,,-0.0004971061321591419,1,-0.0004971061321591419,1.6006024093795173
2025-08-07 06:15:00,3377.89,3378.35,3376.54,3378.12,704,14,0,67.65225066195951,3.195999999999958,1.026992287917731,hold,NEUTRAL,1.0,,,7.105048136701875e-05,1,7.105048136701875e-05,1.600716132951181
2025-08-07 06:30:00,3378.11,3379.19,3376.95,3377.47,666,11,0,66.39237765266276,3.1999999999999544,1.040718095485875,hold,NEUTRAL,1.0,,,-0.00019241471587749803,1,-0.00019241471587749803,1.6004081316112586
2025-08-07 06:45:00,3377.68,3380.32,3377.68,3379.68,815,14,0,65.99474145486343,3.2534999999999856,1.0750396510705795,hold,NEUTRAL,1.0,,,0.0006543359378470281,1,0.0006543359378470281,1.6014553361669945
2025-08-07 07:00:00,3379.75,3380.2,3377.57,3378.5,759,10,0,64.99784203711653,3.22049999999997,1.0646984924623097,hold,NEUTRAL,1.0,,,-0.00034914548122899625,1,-0.00034914548122899625,1.6008961952729817
2025-08-07 07:15:00,3378.52,3380.68,3377.45,3377.82,817,5,0,61.78260869565233,3.2524999999999635,1.0757756168551933,hold,NEUTRAL,1.0,,,-0.00020127275418080348,1,-0.00020127275418080348,1.6005739784866015
2025-08-07 07:30:00,3377.82,3379.7,3377.82,3378.55,738,5,0,55.62847046945993,3.2634999999999534,1.0851566136862358,buy,BULLISH,1.0,3373.65475,3388.3405000000002,0.00021611571960611364,1,0.00021611571960611364,1.600919887683745
2025-08-07 07:45:00,3378.53,3379.66,3376.86,3377.57,688,10,0,48.79454926624728,3.2954999999999472,1.0964532871972261,hold,NEUTRAL,1.0,,,-0.00029006526468455807,1,-0.00029006526468455807,1.6004555164327852
2025-08-07 08:00:00,3377.6,3380.93,3377.34,3378.86,980,5,0,41.461953265428704,3.2074999999999365,1.0886905165976468,sell,BEARISH,1.0,3383.67125,3369.2375,0.00038193138854270003,-1,-0.00038193138854270003,1.599844252235093
2025-08-07 08:15:00,3378.92,3379.71,3377.3,3379.64,922,5,0,42.1893491124249,3.1379999999999426,1.0748047677764048,hold,NEUTRAL,1.0,,,0.00023084709043863505,-1,-0.00023084709043863505,1.5994749328443096
2025-08-07 08:30:00,3379.58,3379.71,3372.01,3372.29,1074,5,0,29.920268569029844,3.355499999999938,1.1195449085813378,sell,STRONG_BEARISH,1.0,3377.32325,3362.2235,-0.002174787847226356,-1,0.002174787847226356,1.6029534514902024
2025-08-07 08:45:00,3372.23,3375.8,3371.68,3375.45,1058,5,0,42.71481942714751,3.3984999999999443,1.1262261399787854,sell,BEARISH,1.0,3380.5477499999997,3365.2545,0.0009370487117061899,-1,-0.0009370487117061899,1.6014514060235585
2025-08-07 09:00:00,3376.25,3379.1,3375.05,3378.43,1223,5,0,45.21635569670427,3.2709999999999355,1.073726365546209,hold,NEUTRAL,1.0,,,0.0008828452502629425,-1,-0.0008828452502629425,1.6000375722562237
2025-08-07 09:15:00,3378.45,3380.72,3377.5,3380.28,1058,5,0,51.397515527950844,3.260999999999922,1.0661740665663881,buy,BULLISH,1.0,3375.3885000000005,3390.063,0.0005475916327999375,1,0.0005475916327999375,1.6009137394429567
2025-08-07 09:30:00,3380.35,3386.21,3379.97,3385.15,916,5,0,62.55613126079472,3.352499999999941,1.0770046260601271,buy,BULLISH,1.0,3380.12125,3395.2075,0.001440709053687872,1,0.001440709053687872,1.6032201903615455
2025-08-07 09:45:00,3385.5,3387.88,3383.99,3387.58,891,7,0,65.18946692357132,3.407999999999947,1.0937800885807683,buy,BULLISH,1.0,3382.468,3397.8039999999996,0.0007178411591803879,1,0.0007178411591803879,1.6043710478014162
2025-08-07 10:00:00,3387.61,3388.46,3386.31,3387.92,827,10,0,66.94777813817782,3.3244999999999663,1.0781229731482584,buy,BULLISH,1.0,3382.93325,3397.8935,0.00010036663340806662,1,0.00010036663340806662,1.6045320731222215
2025-08-07 10:15:00,3387.95,3393.82,3387.95,3392.13,905,5,0,68.96131586963216,3.4494999999999663,1.0907164990830247,buy,BULLISH,1.0,3386.95575,3402.4785,0.001242650357741626,1,0.001242650357741626,1.6065259454768948
2025-08-07 10:30:00,3392.11,3396.24,3392.0,3394.69,1184,14,0,73.66267173341166,3.492999999999961,1.1061498511621932,buy,STRONG_BULLISH,1.0,3389.4505,3405.169,0.0007546880573563453,1,0.0007546880573563453,1.6077383714217792
2025-08-07 10:45:00,3394.73,3397.44,3393.42,3396.17,1079,5,0,76.20679805769785,3.5899999999999634,1.119635728542908,buy,STRONG_BULLISH,1.0,3390.7850000000003,3406.94,0.0004359750080271674,1,0.0004359750080271674,1.6084393051711654
2025-08-07 11:00:00,3396.38,3396.5,3380.23,3381.52,1335,5,0,53.0349478847331,4.261999999999967,1.227534562211979,hold,NEUTRAL,1.0,,,-0.004313682766174831,1,-0.004313682766174831,1.6015010082600103
2025-08-07 11:15:00,3381.53,3381.79,3373.09,3374.52,1273,6,0,47.2247497725203,4.60649999999996,1.2849372384937223,sell,BEARISH,1.0,3381.42975,3360.7005,-0.002070074995859872,-1,0.002070074995859872,1.604816235453054
2025-08-07 11:30:00,3374.22,3379.52,3372.56,3378.39,1160,6,0,49.591517469146304,4.84249999999995,1.3111225429143833,sell,BEARISH,1.0,3385.65375,3363.8625,0.0011468297713452813,-1,-0.0011468297713452813,1.602975784416698
2025-08-07 11:45:00,3378.42,3382.37,3377.62,3378.09,1177,13,0,48.641542506573415,4.937499999999932,1.319481560662736,sell,BEARISH,1.0,3385.49625,3363.2775,-8.879969452901815e-05,-1,8.879969452901815e-05,1.603118128176692
2025-08-07 12:00:00,3378.14,3381.07,3376.43,3381.05,1162,5,0,58.31750854538572,5.037999999999966,1.322726318000417,hold,NEUTRAL,1.0,,,0.0008762347954021088,-1,-0.0008762347954021088,1.6017134202916437
2025-08-07 12:15:00,3381.03,3381.23,3376.57,3376.78,1163,12,0,51.23674911660813,5.109499999999957,1.3207620327767113,hold,NEUTRAL,1.0,,,-0.0012629212818503488,-1,0.0012629212818503488,1.6037362582575554
2025-08-07 12:30:00,3376.74,3378.48,3373.24,3378.46,1156,5,0,50.02858776443701,5.2774999999999865,1.3436958957123963,buy,BULLISH,1.0,3370.5437500000003,3394.2925,0.0004975153844786195,1,0.0004975153844786195,1.6045341417186847
2025-08-07 12:45:00,3378.42,3380.6,3376.49,3376.7,999,14,0,46.58266513936579,5.343000000000006,1.343880476885163,sell,BEARISH,1.0,3384.7145,3360.671,-0.0005209474139105108,-1,0.0005209474139105108,1.6053700196303442
2025-08-07 13:00:00,3376.72,3377.69,3374.64,3377.65,999,11,0,42.26165910028891,5.316000000000031,1.3286014195741387,sell,BEARISH,1.0,3385.6240000000003,3361.702,0.0002813397695975439,-1,-0.0002813397695975439,1.6049183651989025
2025-08-07 13:15:00,3377.66,3378.78,3374.5,3374.5,959,12,0,36.701911346075796,5.409500000000048,1.3348220895227898,sell,BEARISH,1.0,3382.61425,3358.2715,-0.0009326010687904507,-1,0.0009326010687904507,1.6064151137816085
2025-08-07 13:30:00,3374.45,3378.08,3374.4,3377.3,909,17,0,39.71727343144866,5.208500000000049,1.302711220049038,hold,NEUTRAL,1.0,,,0.0008297525559342045,-1,-0.0008297525559342045,1.6050821867350569
2025-08-07 13:45:00,3377.29,3377.32,3371.83,3372.89,883,5,0,31.442901234567884,5.277000000000044,1.30033019565326,sell,BEARISH,1.0,3380.8055,3357.0589999999997,-0.001305776803955938,-1,0.001305776803955938,1.6071780658229384
2025-08-07 14:00:00,3372.89,3380.08,3371.74,3380.08,1074,5,0,37.06392774924743,5.491500000000064,1.3131904921325945,hold,NEUTRAL,1.0,,,0.002131703079554903,-1,-0.002131703079554903,1.6037520393906306
2025-08-07 14:15:00,3380.05,3383.13,3378.98,3381.83,1157,6,0,37.363412054987684,5.538000000000079,1.309467511586137,hold,NEUTRAL,1.0,,,0.0005177392251070057,-1,-0.0005177392251070057,1.6029217140524927
2025-08-07 14:30:00,3381.93,3383.17,3375.88,3379.09,1203,9,0,47.289761320544486,5.590500000000065,1.2973405736563808,hold,NEUTRAL,1.0,,,-0.0008102122223765384,-1,0.0008102122223765384,1.6042204208167308
2025-08-07 14:45:00,3379.07,3379.27,3376.43,3378.2,1095,11,0,54.752066115702185,5.538000000000056,1.283667887441488,buy,BULLISH,1.0,3369.8929999999996,3394.814,-0.0002633845206846397,1,-0.0002633845206846397,1.6037978939901214
2025-08-07 15:00:00,3378.28,3380.41,3375.31,3376.41,1050,15,0,47.29803493449784,5.685500000000047,1.2971708875199763,hold,NEUTRAL,1.0,,,-0.0005298679770291415,1,-0.0005298679770291415,1.6029480928444693
2025-08-07 15:15:00,3376.37,3381.82,3376.26,3381.02,1045,11,0,53.57753357753328,5.66850000000004,1.2735340372950004,buy,BULLISH,1.0,3372.51725,3398.0255,0.0013653555107349113,1,0.0013653555107349113,1.6051366868564565
2025-08-07 15:30:00,3381.21,3389.64,3381.21,3385.04,1236,5,0,54.74886931682894,5.8875000000000455,1.303582499335766,buy,BULLISH,1.0,3376.20875,3402.7025000000003,0.0011889903047008765,1,0.0011889903047008765,1.6070451788148485
2025-08-07 15:45:00,3384.95,3385.12,3379.84,3380.81,1239,5,0,54.80104836788138,5.950500000000034,1.308952925648931,buy,BULLISH,1.0,3371.88425,3398.6615,-0.0012496159572707999,1,-0.0012496159572707999,1.6050369895153465
2025-08-07 16:00:00,3380.81,3385.37,3380.18,3384.6,1150,17,0,56.96460980036263,5.396500000000037,1.177555206424029,buy,BULLISH,1.0,3376.5052499999997,3400.7895,0.0011210331251978456,1,0.0011210331251978456,1.606836289147761
2025-08-07 16:15:00,3384.59,3387.32,3382.5,3386.46,1225,15,0,61.04572204617468,5.202500000000055,1.1275465973125398,buy,BULLISH,1.0,3378.65625,3402.0675,0.0005495479524906255,1,0.0005495479524906255,1.6077193227404498
2025-08-07 16:30:00,3386.53,3391.09,3385.95,3390.52,1333,5,0,63.60752801860822,5.111500000000069,1.114879602163685,buy,BULLISH,1.0,3382.85275,3405.8545000000004,0.0011988920583736462,1,0.0011988920583736462,1.6096468046685772
2025-08-07 16:45:00,3390.47,3393.79,3384.85,3384.85,1311,13,0,60.38948002409128,5.321000000000072,1.133285057079585,hold,NEUTRAL,1.0,,,-0.001672309852176035,1,-0.001672309852176035,1.6069549764586064
